friendly	mangled	vtable_rva	subobj_off	col_rva	td_rva	vt0_func_rva
PatchSellSheet	.?AVPatchSellSheet@@	0x624B3E8	0	0x6EED818	0x8AEF8C0	0x3136130
PauseMenuTiled	.?AVPauseMenuTiled@@	0x63C6710	0	0x6FFA620	0x8BA82F0	0x38FEEB0
PCVideoOptions	.?AVPCVideoOptions@@	0x633C2F8	0	0x6F95AA8	0x8B51040	0x36301F0
PhotoAnalysis	.?AVPhotoAnalysis@@	0x640BE38	0	0x702A400	0x8BC44B8	0x3A8D310
PhotoModeScene	.?AVPhotoModeScene@@	0x6446760	0	0x7054FE0	0x8BDFF30	0x3C0EE50
PhotoViewer	.?AVPhotoViewer@@	0x64163C8	0	0x7034008	0x8BCB150	0x3AD8BB0
PlaceHolderLabel	.?AVPlaceHolderLabel@@	0x62ECED0	0	0x6F603B0	0x8B343E8	0x34AE530
PlaceholderScene	.?AVPlaceholderScene@@	0x62EDB68	0	0x6F64A10	0x8B34440	0x34AE5A0
PlaceholderSceneWithBack	.?AVPlaceholderSceneWithBack@@	0x62EE4D8	0	0x6F65040	0x8B36010	0x34AE680
PlaceholderTextScene	.?AVPlaceholderTextScene@@	0x62EF830	0	0x6F60A60	0x8B34468	0x34AE710
PlayerBusinessPurchase	.?AVPlayerBusinessPurchase@@	0x63319D8	0	0x6F906C8	0x8B4EC98	0x35F5CD0
PlayerBusinessSlotMenu	.?AVPlayerBusinessSlotMenu@@	0x643BD20	0	0x704D348	0x8BDAF50	0x3BCFBC0
PlayerHouseIntro	.?AVPlayerHouseIntro@@	0x63036C0	0	0x6F712F0	0x8B3DDF0	0x351E070
PlayerHousePurchase	.?AVPlayerHousePurchase@@	0x63323D0	0	0x6F903F0	0x8B4EC68	0x35F5D20
PlayerHouseUpgradeDetails	.?AVPlayerHouseUpgradeDetails@@	0x624C080	0	0x6EEDD38	0x8AEF940	0x3136180
PlayerNameSelect	.?AVPlayerNameSelect@@	0x633D048	0	0x6F95DD8	0x8B51068	0x3630430
PlayerSpotlightPanel	.?AVPlayerSpotlightPanel@@	0x624CA20	0	0x6EEE138	0x8AEF9A0	0x31361D0
PlaygroundGamesTypeMenu	.?AVPlaygroundGamesTypeMenu@@	0x63FB5F0	0	0x701B650	0x8BBC190	0x3A2E460
PopupBase	.?AVPopupBase@@	0x62CF508	0	0x6F4E6D0	0x8AFAE58	0x341F660
PopupBucketListBlueprintAttemptChallenge	.?AVPopupBucketListBlueprintAttemptChallenge@@	0x626B700	0	0x6F010C0	0x8AFADD0	0x3222CE0
PopupBucketListBlueprintUpload	.?AVPopupBucketListBlueprintUpload@@	0x643C940	0	0x704D628	0x8BDAF80	0x3BCFC80
PopupBuyTokens	.?AVPopupBuyTokens@@	0x628A700	0	0x6F17C28	0x8B08358	0x32C1730
PopupCarFilter	.?AVPopupCarFilter@@	0x6388D58	0	0x6FCA7F8	0x8B867B8	0x3771320
PopupClubAction	.?AVPopupClubAction@@	0x63AE4F8	0	0x6FE6710	0x8B98BE0	0x385CA20
PopupColorSliders	.?AVPopupColorSliders@@	0x63DB3E0	0	0x700A760	0x8BB11A8	0x3991A50
PopupCreateHorizonClub	.?AVPopupCreateHorizonClub@@	0x626CA78	0	0x6F019B8	0x8AFAEA8	0x3222D80
PopupCreatorInfo	.?AVPopupCreatorInfo@@	0x6416D38	0	0x70342E0	0x8BCB178	0x3AD8C60
PopupDownloadGiftedItem	.?AVPopupDownloadGiftedItem@@	0x63DBE48	0	0x700AA30	0x8BB11D0	0x3991AD0
PopupFileDetails	.?AVPopupFileDetails@@	0x64176A0	0	0x70345C0	0x8BCB1A0	0x3AD8D40
PopupGarageFull	.?AVPopupGarageFull@@	0x629C520	0	0x6F23DF0	0x8B0FFB0	0x331E260
PopupInstalling	.?AVPopupInstalling@@	0x629CE88	0	0x6F25320	0x8B10110	0x331E2B0
PopupLoadSave	.?AVPopupLoadSave@@	0x6368780	0	0x6FAFE00	0x8B3DE80	0x36BDDA0
PopupLoadSaveLivery	.?AVPopupLoadSaveLivery@@	0x63B8EE8	0	0x6FECB80	0x8B9D8D0	0x38B0E60
PopupLoadSaveLiveryCrossTitle	.?AVPopupLoadSaveLiveryCrossTitle@@	0x63DC808	0	0x7008270	0x8BB0F00	0x3991BB0
PopupLoadSaveLiveryGroup	.?AVPopupLoadSaveLiveryGroup@@	0x63B6CD0	0	0x6FECEB8	0x8B9D900	0x38B0F90
PopupLoadSaveLiveryGroupCrossTitle	.?AVPopupLoadSaveLiveryGroupCrossTitle@@	0x63DD588	0	0x70085B0	0x8BB0F38	0x3991C00
PopupLoadSavePhoto	.?AVPopupLoadSavePhoto@@	0x6369500	0	0x6FAB3D0	0x8B5E8E8	0x36BDDF0
PopupLoadSavePhotoCuration	.?AVPopupLoadSavePhotoCuration@@	0x64180A0	0	0x7033538	0x8BCB0C8	0x3AD8D90
PopupLoadSaveRoute	.?AVPopupLoadSaveRoute@@	0x6424DC0	0	0x703CE50	0x8B3DE50	0x3B27830
PopupLoadSaveRouteOnlineAdventure	.?AVPopupLoadSaveRouteOnlineAdventure@@	0x6304118	0	0x6F715C0	0x8B3DE18	0x351E0C0
PopupLoadSaveTune	.?AVPopupLoadSaveTune@@	0x63BBA68	0	0x6FED1F8	0x8B9D930	0x38B1040
PopupLoadSaveTuneCuration	.?AVPopupLoadSaveTuneCuration@@	0x6418EE0	0	0x70348A0	0x8BCB1C8	0x3AD8DE0
PopupMapFilter	.?AVPopupMapFilter@@	0x63A6148	0	0x6FDEA48	0x8B94650	0x381FB60
PopupMenu	.?AVPopupMenu@@	0x631F8B0	0	0x6F88810	0x8AFAE10	0x35BC570
PopupMenuPhraseSwap	.?AVPopupMenuPhraseSwap@@	0x62C1028	0	0x6F41E70	0x8B21D90	0x33C9E80
PopupMessageBox	.?AVPopupMessageBox@@	0x62CFE68	0	0x6F4DBE0	0x8AFAE30	0x341F7E0
PopupPlayerAction	.?AVPopupPlayerAction@@	0x63E7430	0	0x7013600	0x8BB6C70	0x39D88B0
PopupQuitHorizonClub	.?AVPopupQuitHorizonClub@@	0x643EA30	0	0x704E4B0	0x8BDB080	0x3BCFE20
PopupRateGame	.?AVPopupRateGame@@	0x62F6B20	0	0x6F6A8F0	0x8B3A9D8	0x34EBD40
PopupReportAuction	.?AVPopupReportAuction@@	0x644D008	0	0x705AD58	0x8BE4368	0x3C3DFB0
PopupReportLicensePlate	.?AVPopupReportLicensePlate@@	0x644D998	0	0x705AA78	0x8BE4338	0x3C3E050
PopupReportStorefrontContent	.?AVPopupReportStorefrontContent@@	0x644C678	0	0x705A680	0x8BE42D0	0x3C3E120
PopupRivalsServerError	.?AVPopupRivalsServerError@@	0x62C9060	0	0x6F475C0	0x8B24380	0x33F93A0
PopupRivalsServerErrorResolved	.?AVPopupRivalsServerErrorResolved@@	0x62C99C8	0	0x6F47898	0x8B243B0	0x33F93F0
PopupSafetyNet	.?AVPopupSafetyNet@@	0x62CA330	0	0x6F48AA0	0x8B24510	0x33F9440
PopupSaveData	.?AVPopupSaveData@@	0x6389840	0	0x6FCAAD8	0x8B867E0	0x37713C0
PopupSendGiftItem	.?AVPopupSendGiftItem@@	0x62D6898	0	0x6F4E070	0x8B279F8	0x341F830
PopupShareContent	.?AVPopupShareContent@@	0x63EA060	0	0x7014A10	0x8B3ABD8	0x39D8A90
PopupShareLivery	.?AVPopupShareLivery@@	0x63BADC8	0	0x6FEE0B0	0x8B9D9F8	0x38B11C0
PopupShareLiveryGroup	.?AVPopupShareLiveryGroup@@	0x636AB28	0	0x6FAB6D8	0x8B5E918	0x36BDE80
PopupSharePhoto	.?AVPopupSharePhoto@@	0x6369FB8	0	0x6FAB9F0	0x8B5E948	0x36BDFB0
PopupShareTune	.?AVPopupShareTune@@	0x62F74B0	0	0x6F6C1E0	0x8B3ABB0	0x34EBDD0
PopupShowAchievements	.?AVPopupShowAchievements@@	0x62CACA0	0	0x6F48D70	0x8B24538	0x33F9530
PopupShowPlayerCard	.?AVPopupShowPlayerCard@@	0x6325490	0	0x6F889C8	0x8B49660	0x35BC5E0
PopupSingleSelection	.?AVPopupSingleSelection@@	0x62D7240	0	0x6F4DD98	0x8B279C8	0x341F8D0
PopupStaffCode	.?AVPopupStaffCode@@	0x6432E88	0	0x7044BA8	0x8BD66E0	0x3B83870
PopupStartOnlineEvent	.?AVPopupStartOnlineEvent@@	0x6325DF0	0	0x6F87B00	0x8B49598	0x35BC650
PopupSuper7StickTwist	.?AVPopupSuper7StickTwist@@	0x626DC28	0	0x6F016F0	0x8AFAE78	0x3222DD0
PopupUserContentSearch	.?AVPopupUserContentSearch@@	0x63A51C8	0	0x6FDED28	0x8B3AC00	0x381FBC0
PopupWaitMessageBox	.?AVPopupWaitMessageBox@@	0x62C4518	0	0x6F467A0	0x8B24260	0x33F9580
PopupWin10SignIn	.?AVPopupWin10SignIn@@	0x630DC48	0	0x6F78500	0x8B418D8	0x3556B00
PostRaceAccolades	.?AVPostRaceAccolades@@	0x63988A8	0	0x6FD9B10	0x8B91EA8	0x37DFB60
PostRaceAccoladesRewards	.?AVPostRaceAccoladesRewards@@	0x63D1AE0	0	0x7000030	0x8BABBD8	0x39482E0
PostRaceBase	.?AVPostRaceBase@@	0x6396EC0	0	0x6FDA450	0x8B3AA68	0x37DFC40
PostRaceBucketListStarsWithInput	.?AVPostRaceBucketListStarsWithInput@@	0x62F7EF0	0	0x6F6ABC0	0x8B3AA00	0x34EBEF0
PostRaceContinue	.?AVPostRaceContinue@@	0x6399358	0	0x6FD9DE8	0x8B91ED0	0x37DFCD0
PostRaceEventObjectiveRewards	.?AVPostRaceEventObjectiveRewards@@	0x63D1188	0	0x7000410	0x8BABC38	0x3948330
PostRaceEventResults	.?AVPostRaceEventResults@@	0x640D1F0	0	0x7029550	0x8BC43C0	0x3A8D580
PostRaceFinishLine	.?AVPostRaceFinishLine@@	0x633E6F8	0	0x6F960E0	0x8B51090	0x3630480
PostRaceFinishPosition	.?AVPostRaceFinishPosition@@	0x633F060	0	0x6F964C0	0x8B510F8	0x36304D0
PostRaceFinishPositionBase	.?AVPostRaceFinishPositionBase@@	0x633DD30	0	0x6F9A068	0x8B510C0	0x3630520
PostRaceOnlineRoadTripComplete	.?AVPostRaceOnlineRoadTripComplete@@	0x6326750	0	0x6F87DC8	0x8B495C8	0x35BC740
PostRacePodiumFinish	.?AVPostRacePodiumFinish@@	0x6292C30	0	0x6F209B8	0x8B0E900	0x32F7720
PostRaceRivalsChallengeChoice	.?AVPostRaceRivalsChallengeChoice@@	0x640DDA8	0	0x7029818	0x8BC43F0	0x3A8D5D0
PostRaceSeasonalRewards	.?AVPostRaceSeasonalRewards@@	0x63D0830	0	0x70006E0	0x8BABC70	0x3948380
PostRaceSeriesRewards	.?AVPostRaceSeriesRewards@@	0x63CFEA0	0	0x7003420	0x8BABC08	0x39483D0
PostRaceTeamFinish	.?AVPostRaceTeamFinish@@	0x6293588	0	0x6F20C88	0x8B0E930	0x32F7790
PostRaceTeamScore	.?AVPostRaceTeamScore@@	0x63D30F0	0	0x70009B0	0x8BABCA0	0x3948420
PostRaceUGCRating	.?AVPostRaceUGCRating@@	0x62F8948	0	0x6F6B0D0	0x8B3AA90	0x34EBFD0
PostRaceXP	.?AVPostRaceXP@@	0x6399E78	0	0x6FDA0B8	0x8B91EF8	0x37DFD70
PreRaceBucketListDescription	.?AVPreRaceBucketListDescription@@	0x62F9C40	0	0x6F6B398	0x8B3AAB8	0x34EC020
PreRaceBucketListInfo	.?AVPreRaceBucketListInfo@@	0x62F92D8	0	0x6F6B798	0x8B3AAF0	0x34EC070
PreRaceChampionshipStandings	.?AVPreRaceChampionshipStandings@@	0x640E7A0	0	0x7029AE8	0x8BC4428	0x3A8D620
PreRaceCutsceneChampionshipInfo	.?AVPreRaceCutsceneChampionshipInfo@@	0x6293F20	0	0x6F218F8	0x8B0EA00	0x32F7820
PreRaceCutsceneTrackName	.?AVPreRaceCutsceneTrackName@@	0x6332D80	0	0x6F909A8	0x8B4ECC8	0x35F5DB0
PreRaceEncounter	.?AVPreRaceEncounter@@	0x633FA20	0	0x6F96790	0x8B51128	0x3630570
PreRaceEventInfo	.?AVPreRaceEventInfo@@	0x6294888	0	0x6F20F58	0x8B0E960	0x32F78C0
PreRaceMenuTiled	.?AVPreRaceMenuTiled@@	0x64258E8	0	0x703D058	0x8BD0D30	0x3B27880
PreRaceRoadTripDestinationResults	.?AVPreRaceRoadTripDestinationResults@@	0x6280BF0	0	0x6F116D8	0x8B05E38	0x3297920
PreRaceTeamRevealPanel	.?AVPreRaceTeamRevealPanel@@	0x63EAAD8	0	0x7012D90	0x8BB6BE0	0x39D8C50
PrivateAdventureSettings	.?AVPrivateAdventureSettings@@	0x633A838	0	0x6F950F8	0x8B50F80	0x3630630
PrivateAdventureSetupRoot	.?AVPrivateAdventureSetupRoot@@	0x643F3B0	0	0x704C900	0x8BDAEC0	0x3BCFE70
PropPlacementHud	.?AVPropPlacementHud@@	0x63DEA70	0	0x70092A8	0x8BB1038	0x3991E50
PurchaseAsyncPopupGaming	.?AVPurchaseAsyncPopupGaming@@	0x630C328	0	0x6F79F68	0x8B41AF0	0x3556B50
QuickChatContextSelect	.?AVQuickChatContextSelect@@	0x62FA608	0	0x6F6B950	0x8B3AB20	0x34EC0C0
QuickChatPhraseSelectPopup	.?AVQuickChatPhraseSelectPopup@@	0x62C1AC0	0	0x6F42150	0x8B21DC0	0x33CA150
RareCarDealershipShop	.?AVRareCarDealershipShop@@	0x6260928	0	0x6EFA6E8	0x8AF7F20	0x319BAB0
Rebuilds	.?AVRebuilds@@	0x629E458	0	0x6F243B0	0x8B10018	0x331E680
RebuildsFilterPopup	.?AVRebuildsFilterPopup@@	0x629EFC0	0	0x6F25600	0x8B10138	0x331E6D0
ReplayHud	.?AVReplayHud@@	0x63DF810	0	0x7009578	0x8BB1060	0x3991F20
RivalsDisciplineSelect	.?AVRivalsDisciplineSelect@@	0x62A06D8	0	0x6F24680	0x8B10038	0x331E7A0
RivalsEventSelect	.?AVRivalsEventSelect@@	0x62D4770	0	0x6F4D748	0x8B27970	0x341F9C0
RivalsLeaderboard	.?AVRivalsLeaderboard@@	0x639A8B0	0	0x6FD9558	0x8B91E58	0x37DFEB0
RivalsMenu	.?AVRivalsMenu@@	0x6295268	0	0x6F21228	0x8B0E988	0x32F7A40
RivalsResultsMenu	.?AVRivalsResultsMenu@@	0x63403E8	0	0x6F96A58	0x8B51150	0x36306C0
RivalsRouteSelect	.?AVRivalsRouteSelect@@	0x6304C98	0	0x6F71B78	0x8B3DEA8	0x351E360
RoadTripChampionshipStandings	.?AVRoadTripChampionshipStandings@@	0x63FC0E8	0	0x701B928	0x8BBC1C0	0x3A2E520
RoadTripConvoyMessageBox	.?AVRoadTripConvoyMessageBox@@	0x6327100	0	0x6F880A8	0x8B49600	0x35BC7B0
RoadTripDestinationResults	.?AVRoadTripDestinationResults@@	0x62801F8	0	0x6F11AC0	0x8B05E70	0x3297A30
RouteBlueprintCheckpointEditor	.?AVRouteBlueprintCheckpointEditor@@	0x63E0BD0	0	0x70098F0	0x8BB10B8	0x3992090
RouteBlueprintHud	.?AVRouteBlueprintHud@@	0x63E0200	0	0x7009BC0	0x8BB10F0	0x39920E0
RouteBlueprintPostRaceMenu	.?AVRouteBlueprintPostRaceMenu@@	0x638A1B8	0	0x6FCA528	0x8B86780	0x3771540
RouteBlueprintSaveRoutePopup	.?AVRouteBlueprintSaveRoutePopup@@	0x63FD3C0	0	0x701BFF0	0x8BBC260	0x3A2E5B0
RouteBlueprintTestRoutePopup	.?AVRouteBlueprintTestRoutePopup@@	0x63FCA58	0	0x701BD10	0x8BBC228	0x3A2E620
RuleTreeMenu	.?AVRuleTreeMenu@@	0x62A10C8	0	0x6F24950	0x8B10068	0x331E830
SceneList	.?AVSceneList@@	0x6281690	0	0x6F12190	0x8B05F28	0x3297A80
SeasonCampaignSlotMenu	.?AVSeasonCampaignSlotMenu@@	0x63F27F8	0	0x701C2D0	0x8BBC298	0x3A2E690
SeasonTransitionFMVLoading	.?AVSeasonTransitionFMVLoading@@	0x6430DA0	0	0x7044E88	0x8BD6708	0x3B838C0
SellSheetBase	.?AVSellSheetBase@@	0x624A050	0	0x6EEEBF0	0x8AEF918	0x3136260
ShowCaseCampaignSlotMenu	.?AVShowCaseCampaignSlotMenu@@	0x63F4570	0	0x701C5B8	0x8BBC2C8	0x3A2E8D0
SignIn	.?AVSignIn@@	0x63E5780	0	0x7013938	0x8BB6C98	0x39D9020
SkillTreeMenu	.?AVSkillTreeMenu@@	0x63FDEA0	0	0x701C9E0	0x8BBC328	0x3A2E920
SoloCustomAdventureSettings	.?AVSoloCustomAdventureSettings@@	0x6339ED0	0	0x6F954F8	0x8B50FE0	0x36307B0
SpeedTrapLeaderboard	.?AVSpeedTrapLeaderboard@@	0x643FD60	0	0x704DC10	0x8BDAFF0	0x3BCFEC0
SpinnerPopupBase	.?AVSpinnerPopupBase@@	0x62D7D18	0	0x6F50EC0	0x8B100E8	0x341FA10
Splash	.?AVSplash@@	0x6447450	0	0x7055358	0x8BDFF90	0x3C0EEA0
SplashE3	.?AVSplashE3@@	0x6432520	0	0x7045160	0x8BD6740	0x3B839D0
StartingGrid	.?AVStartingGrid@@	0x63EB468	0	0x7013058	0x8BB6C10	0x39D9070
StateflowGenericPopupBase	.?AVStateflowGenericPopupBase@@	0x62CBF98	0	0x6F4A580	0x8B24418	0x33F9A50
StateflowMenu	.?AVStateflowMenu@@	0x62CD258	0	0x6F47F60	0x8B24448	0x33F9AA0
StateflowMessageBox	.?AVStateflowMessageBox@@	0x62CC8F8	0	0x6F47B78	0x8B243E8	0x33F9AF0
StreetRaceCampaignSlotMenu	.?AVStreetRaceCampaignSlotMenu@@	0x63F3BD8	0	0x701CCB0	0x8BBC350	0x3A2E970
SubsetCarSelectBuy	.?AVSubsetCarSelectBuy@@	0x628B158	0	0x6F163C0	0x8B081B0	0x32C1850
Super7BonusRewards	.?AVSuper7BonusRewards@@	0x63D2438	0	0x7000C78	0x8BABCC8	0x3948670
Super7EventSelect	.?AVSuper7EventSelect@@	0x6305860	0	0x6F71E50	0x8B3DED0	0x351E480
Super7MenuTiled	.?AVSuper7MenuTiled@@	0x6340DD8	0	0x6F96D28	0x8B51178	0x3630870
TeamChampionshipStandings	.?AVTeamChampionshipStandings@@	0x63FED00	0	0x701CF98	0x8BBC388	0x3A2EA10
TeamCredits	.?AVTeamCredits@@	0x6434990	0	0x7045428	0x8BD6760	0x3B83BA0
TeamCreditsVideo	.?AVTeamCreditsVideo@@	0x6435308	0	0x7045700	0x8BD6788	0x3B83D80
TelemetryScene	.?AVTelemetryScene@@	0x63B29C0	0	0x6FE5E80	0x8B98B58	0x385CC90
TestCustomRenderersScene	.?AVTestCustomRenderersScene@@	0x630E5C8	0	0x6F7A248	0x8B41B20	0x3556BF0
Tombola	.?AVTombola@@	0x630F8D8	0	0x6F787D0	0x8B41900	0x3556CE0
TombolaPanel	.?AVTombolaPanel@@	0x630EF80	0	0x6F7BEB0	0x8B41920	0x3556DE0
TrackSwapPromptPopup	.?AVTrackSwapPromptPopup@@	0x62A1CC0	0	0x6F24C50	0x8B10090	0x331EAF0
TrailblazerLeaderboard	.?AVTrailblazerLeaderboard@@	0x64406F0	0	0x704DEE8	0x8BDB020	0x3BCFFE0
TuneMenu	.?AVTuneMenu@@	0x6419D18	0	0x7034BE0	0x8BCB1F8	0x3AD8FE0
TyreCheck	.?AVTyreCheck@@	0x63417F8	0	0x6F97008	0x8B511A0	0x3630910
UIPage	.?AVUIPage@@	0x5F1F320	0	0x69A4D48	0x857F228	0x14607F0
UpgradeBasketPopup	.?AVUpgradeBasketPopup@@	0x638AB10	0	0x6FCADB8	0x8B86808	0x3771690
UpgradeCarAreas	.?AVUpgradeCarAreas@@	0x6426E18	0	0x703D338	0x8BD0D58	0x3B27980
UpgradeCarAspirationConversions	.?AVUpgradeCarAspirationConversions@@	0x63E1628	0	0x7009E88	0x8BB1118	0x3992220
UpgradeCarConfirmPopup	.?AVUpgradeCarConfirmPopup@@	0x63B34B8	0	0x6FE6428	0x8B98BB0	0x385CEC0
UpgradeCarParts	.?AVUpgradeCarParts@@	0x641B1D0	0	0x7033A08	0x8BCB100	0x3AD90A0
UpgradeCarPreset	.?AVUpgradeCarPreset@@	0x63BCB08	0	0x6FEDDD8	0x8B9D9D0	0x38B1330
UpgradeCarTypes	.?AVUpgradeCarTypes@@	0x640FAA0	0	0x7029DC0	0x8BC4460	0x3A8D670
UpgradeCarTypesAutovista	.?AVUpgradeCarTypesAutovista@@	0x6410448	0	0x702A0D8	0x8BC4488	0x3A8D6E0
UpgradeCarWheelCategories	.?AVUpgradeCarWheelCategories@@	0x6310280	0	0x6F78E10	0x8B419A8	0x3556E30
UpgradeCarWheelStyles	.?AVUpgradeCarWheelStyles@@	0x6310C58	0	0x6F79270	0x8B41A08	0x3556E80
UpgradesMenu	.?AVUpgradesMenu@@	0x641C5C0	0	0x7033D30	0x8BCB128	0x3AD9140
UserContentDesignPopup	.?AVUserContentDesignPopup@@	0x64113C0	0	0x702A6E0	0x8BC44E0	0x3A8D7C0
UserContentShowroom	.?AVUserContentShowroom@@	0x6427948	0	0x703D650	0x8BD0D80	0x3B27A20
UserContentVinylPopup	.?AVUserContentVinylPopup@@	0x63A6F00	0	0x6FDEEE0	0x8B94678	0x381FD30
VideoOptions	.?AVVideoOptions@@	0x64339E0	0	0x7044898	0x8BD66B8	0x3B83E70
VideoPlayer	.?AVVideoPlayer@@	0x6431720	0	0x70459D8	0x8B86758	0x3B83F60
ViewContributorsPopup	.?AVViewContributorsPopup@@	0x628BEC0	0	0x6F17F08	0x8B08380	0x32C1AB0
VirtualKeyboardPopup	.?AVVirtualKeyboardPopup@@	0x62D86B0	0	0x6F4E3F8	0x8B27A50	0x341FAB0
WaitForExpansionInstall	.?AVWaitForExpansionInstall@@	0x63283B8	0	0x6F88378	0x8B49630	0x35BC800
WaitForExpansionInstallPopup	.?AVWaitForExpansionInstallPopup@@	0x62CDBE0	0	0x6F48230	0x8B24470	0x33F9B40
WaitForInstall	.?AVWaitForInstall@@	0x6327A58	0	0x6F88658	0x8B05ED8	0x35BC880
WaitForInstallFromSplash	.?AVWaitForInstallFromSplash@@	0x62821A8	0	0x6F11C78	0x8B05EA8	0x3297C00
WelcomeToOnline	.?AVWelcomeToOnline@@	0x6295CB0	0	0x6F21628	0x8B0E9D8	0x32F7B40
